"Özdemir, Cem",MdB,Bündnis 90/Die Grünen
"Özdemir (Duisburg), Mahmut",MdB,SPD
"Özoğuz, Aydan",MdB,SPD
"Oppelt, Moritz",MdB,CDU/CSU
"Ortleb, Josephine",MdB,SPD
"Oßner, Florian",MdB,CDU/CSU
"Oster, Josef",MdB,CDU/CSU
"Otte, Henning",MdB,CDU/CSU
"Otte, Karoline",MdB,Bündnis 90/Die Grünen
"Otten, Gerold",MdB,AfD
"Pahlke, Julian",MdB,Bündnis 90/Die Grünen
"Pahlmann, Ingrid",MdB,CDU/CSU
"Pantazis, Dr. Christos",MdB,SPD
"Papenbrock, Wiebke",MdB,SPD
"Papendieck, Mathias",MdB,SPD
"Pau, Petra",MdB,Gruppe Die Linke
"Paus, Lisa",MdB,Bündnis 90/Die Grünen
"Pawlik, Natalie",MdB,SPD
"Peick, Jens",MdB,SPD
"Pellmann, Sören",MdB,Gruppe Die Linke
"Perli, Victor",MdB,Gruppe Die Linke
"Peterka, Tobias Matthias",MdB,AfD
"Petry, Christian",MdB,SPD
"Philippi, Dr. Andreas",MdB,SPD  *
"Piechotta, Dr. med. Paula",MdB,Bündnis 90/Die Grünen
"Pilsinger, Dr. med. Stephan",MdB,CDU/CSU
"Plobner, Jan",MdB,SPD
"Ploß, Dr. Christoph",MdB,CDU/CSU
"Plum, Dr. Martin",MdB,CDU/CSU
"Pohl, Jürgen",MdB,AfD
"Polat, Filiz",MdB,Bündnis 90/Die Grünen
"Poschmann, Sabine",MdB,SPD
"Post (Minden), Achim",MdB,SPD
"Protschka, Stephan",MdB,AfD
"Rabanus, Martin",MdB,SPD
"Rachel, Thomas",MdB,CDU/CSU
"Radomski, Kerstin",MdB,CDU/CSU
"Radwan, Alexander",MdB,CDU/CSU
"Raffelhüschen, Claudia",MdB,FDP
"Rainer, Alois",MdB,CDU/CSU
"Ramsauer, Dr. Peter",MdB,CDU/CSU
"Redder, Dr. Volker",MdB,FDP
"Rehbaum, Henning",MdB,CDU/CSU
"Reichardt, Martin",MdB,AfD
"Reichel, Dr. Markus",MdB,CDU/CSU
"Reichinnek, Heidi",MdB,Gruppe Die Linke
"Reinalter, Dr. Anja",MdB,Bündnis 90/Die Grünen
"Reinhold, Hagen",MdB,FDP  *
"Renner, Martin Erwin",MdB,AfD
"Renner, Martina",MdB,Gruppe Die Linke
"Reuther, Bernd",MdB,FDP
"Rhie, Ye-One",MdB,SPD
"Rief, Josef",MdB,CDU/CSU
"Riexinger, Bernd",MdB,Gruppe Die Linke
"Rimkus, Andreas",MdB,SPD
"Rinck, Frank",MdB,AfD
"Rinkert, Daniel",MdB,SPD
"Rix, Sönke",MdB,SPD
"Rößner, Tabea",MdB,Bündnis 90/Die Grünen
"Röttgen, Dr. Norbert",MdB,CDU/CSU
"Röwekamp, Thomas",MdB,CDU/CSU
"Rohde, Dennis",MdB,SPD
"Rohwer, Lars",MdB,CDU/CSU
"Roloff, Sebastian",MdB,SPD
"Rosemann, Dr. Martin",MdB,SPD
"Rosenthal, Jessica",MdB,SPD
"Roth (Augsburg), Claudia",MdB,Bündnis 90/Die Grünen
"Roth (Heringen), Michael",MdB,SPD
"Rothfuß, Dr. Rainer",MdB,AfD
"Rottmann, Dr. Manuela",MdB,Bündnis 90/Die Grünen
"Rouenhoff, Stefan",MdB,CDU/CSU
"Rudolph, Dr. Thorsten",MdB,SPD
"Rudolph, Tina",MdB,SPD
"Rüddel, Erwin",MdB,CDU/CSU
"Rüffer, Corinna",MdB,Bündnis 90/Die Grünen
"Rützel, Bernd",MdB,SPD
"Ruf, Nadine",MdB,SPD
"Rupprecht, Albert",MdB,CDU/CSU
"Ryglewski, Sarah",MdB,SPD
"Saathoff, Johann",MdB,SPD
"Sacher, Michael",MdB,Bündnis 90/Die Grünen
"Santos-Wintz, Catarina dos",MdB,CDU/CSU
"Sattelberger, Dr. h. c. Thomas",MdB,FDP  *
"Sauter, Christian",MdB,FDP
"Schäfer (Bochum), Axel",MdB,SPD
"Schäfer, Ingo",MdB,SPD
"Schäfer, Jamila",MdB,Bündnis 90/Die Grünen
"Schäfer, Dr. Sebastian",MdB,Bündnis 90/Die Grünen
"Schäffler, Frank",MdB,FDP
"Schätzl, Johannes",MdB,SPD
"Schäuble, Dr. Wolfgang",MdB,CDU/CSU  **
"Schamber, Rebecca",MdB,SPD
"Schattner, Bernd",MdB,AfD
"Schauws, Ulle",MdB,Bündnis 90/Die Grünen
"Scheer, Dr. Nina",MdB,SPD
